Category,Name,Description,Goal,Type,ID
Sessions,FIRST CONTACT,Start your first session,1,Standard,first-contact
Sessions,REGULAR,Play 25 sessions,25,Standard,regular
Sessions,VETERAN,Play 100 sessions,100,Standard,veteran
Sessions,LIFER,Play 500 sessions,500,Standard,lifer
Sessions,MARATHON,Last 250 drops in one Classic session,250,Standard,marathon
Sessions,RAGE QUIT,Restart 10 sessions in one sitting,1,Hidden,rage-quit
Bits decrypted,HANDSHAKE,Decrypt 100 bits,100,Standard,handshake
Bits decrypted,KILOBIT,"Decrypt 1,000 bits","1,000",Standard,kilobit
Bits decrypted,KILOBYTE,"Decrypt 8,000 bits","8,000",Standard,kilobyte-8k
Bits decrypted,MEGABIT,"Decrypt 1,000,000 bits","1,000,000",Standard,megabit
Bits decrypted,MEGABYTE,"Decrypt 8,000,000 bits","8,000,000",Standard,megabyte-8m
Bits decrypted,106473,"Decrypt 106,473 bits","106,473",Standard,106473
Bits decrypted,GIGABIT,"Decrypt 1,000,000,000 bits","1,000,000,000",Standard,gigabit
Bits decrypted,FULL RANGE,Decrypt 100 of every number from [1] to [7],100,Standard,full-range
Bits decrypted,LUCKY SEVENS,"Decrypt 1,000 [7]s","1,000",Standard,lucky-sevens
Bits decrypted,JACKPOT,Decrypt seven [7]s with one drop,1,Hidden,jackpot
Chains and skill,CHAIN REACTION,Get a 4x chain,4,Standard,chain-reaction
Chains and skill,CASCADE,Get a 6x chain,6,Standard,cascade
Chains and skill,OVERCLOCKED,Get an 8x chain,8,Standard,overclocked
Chains and skill,SUPERNOVA,Get a 10x chain,10,Standard,supernova
Chains and skill,HEAP SPRAY,Decrypt 15 bits with one drop,15,Standard,heap-spray
Chains and skill,SURGICAL,20 drops in a row that each decrypt a bit (exploit drops skip),20,Standard,surgical
Chains and skill,ZERO-DAY,Decrypt a bit with the first drop of a session,1,Standard,zero-day
Chains and skill,CLEAN SWEEP,Clear the whole board after 10+ drops,1,Standard,clean-sweep
Chains and skill,CLOSE CALL,Decrypt your way back under the line,1,Standard,close-call
Chains and skill,SECOND WIND,Get two CLOSE CALLs in one session,2,Standard,second-wind
Chains and skill,FULL STACK,"Fill a column to the line, then bring it back down to half height",1,Standard,full-stack
Chains and skill,FULL HOUSE,Survive a drop with every column one block from the line or higher,1,Hidden,full-house
Score,ROOT ACCESS,"Score 1,000 in one session","1,000",Standard,root-access
Score,SUPERUSER,"Score 5,000 in one session","5,000",Standard,superuser
Score,KERNEL MODE,"Score 10,000 in one session","10,000",Standard,kernel-mode
Score,HYPERVISOR,"Score 20,000 in one session","20,000",Standard,hypervisor
Score,NO TOOLS,"Score 2,000 in one session without running an exploit","2,000",Standard,no-tools
Score,SNAKE EYES,Lose a session with 0 points,1,Hidden,snake-eyes
Score,1337,"Finish a session on exactly 1,337 points",1,Hidden,1337
Score,NOT FOUND,Finish a session on exactly 404 points,1,Hidden,not-found
Score,DEEP THOUGHT,Finish a session with exactly 42 bits decrypted,1,Hidden,deep-thought
Score,PALINDROME,Finish a session on a score that reads the same backwards (4+ digits),1,Hidden,palindrome
Hard mode and bytes,HARDENED,Unlock Hard mode,1,Standard,hardened
Hard mode and bytes,GHOST,Last 100 drops in one Hard session,100,Standard,ghost
Hard mode and bytes,HARD TARGET,"Score 5,000 on Hard","5,000",Standard,hard-target
Hard mode and bytes,FIRST BYTE,Decrypt a BYTE on Hard,1,Standard,first-byte
Hard mode and bytes,DOUBLE BYTE,Decrypt 2 bytes with one drop,2,Standard,double-byte
Hard mode and bytes,TRIPLE BYTE,Decrypt 3 bytes with one drop,3,Standard,triple-byte
